,tissue,blood
k__Viruses.f__Phycodnaviridae.g__Prasinovirus,0.0007461174025084344,5.855516324830407e-05
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus,0.00017055576488333519,0.001126147236560979
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Simplexvirus,0.0006169450863493338,0.00035312544539347284
k__Viruses.o__Caudovirales.f__Siphoviridae.g__C2likevirus,0.00047336745298599256,1.0452193658300151e-05
k__Viruses.f__Poxviridae.g__Parapoxvirus,0.0006262652950832137,0.0002707057718270798
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus,0.00024297683471636862,0.00014253038028254157
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Aquamavirus,0.0009904606923398325,0.0006787231656467932
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Mardivirus,0.0009246775784867167,0.005164597210462337
k__Viruses.f__Baculoviridae.g__Deltabaculovirus,0.0010357753820029406,7.021149070982105e-05
k__Viruses.f__Papillomaviridae.g__Taupapillomavirus,0.0010269709869538811,0.0002001088013179319
k__Viruses.o__Caudovirales.f__Myoviridae.g__I3likevirus,0.0010057617375093732,0.0005486542602716945
k__Viruses.f__Virgaviridae.g__Furovirus,0.0007468724856233565,0.0008905434725140498
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Proboscivirus,0.0007134478656787417,0.0006534376741064477
k__Viruses.o__Herpesvirales.f__Alloherpesviridae.g__Ictalurivirus,0.0005159207194975788,0.0019520340719231528
k__Viruses.f__Inoviridae.g__Inovirus,0.00014129992204374838,0.0
k__Viruses.f__Marseilleviridae.g__Marseillevirus,0.00031673979323804905,0.0006924333809746877
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Gammacoronavirus,0.0009598907654323245,0.0013123140337298336
k__Viruses.f__Ascoviridae.g__Ascovirus,0.0005443146575160304,0.0014002475490403684
k__Viruses.o__Caudovirales.f__Myoviridae.g__Spo1virus,0.0006229967083173436,7.604915372130765e-05
k__Viruses.f__Circoviridae.g__Gyrovirus,7.100820566657766e-05,0.00044237091397160584
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Sicinivirus,0.0001945448709780791,0.0003999726697189781
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Dicipivirus,0.000984515292336449,0.00034074501966484266
k__Viruses.f__Poxviridae.g__Molluscipoxvirus,0.0010734941014415276,0.0007301931041347353
k__Viruses.o__Tymovirales.f__Tymoviridae.g__Tymovirus,0.0009596520273741972,0.0009620962830793391
k__Viruses.f__Flaviviridae.g__Hepacivirus,0.0006952264786036713,0.00029432767603182
k__Viruses.f__Poxviridae.g__Alphaentomopoxvirus,0.0007263635979885492,0.0006037514290547294
k__Viruses.f__Anelloviridae.g__Gammatorquevirus,0.0004043404231917659,0.0008682189029794114
k__Viruses.g__Tenuivirus,0.0003200393612957975,0.0005392370512030076
k__Viruses.f__Hepeviridae.g__Piscihepevirus,0.00041237659579535185,0.0009147743639171924
k__Viruses.f__Virgaviridae.g__Pomovirus,0.00038870151315680576,0.001048065873248016
k__Viruses.f__Caulimoviridae.g__Badnavirus,0.00044156228280284554,0.0004335055529438857
k__Viruses.f__Polydnaviridae.g__Ichnovirus,0.0004532041896149896,0.00031144582454382865
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Percavirus,0.0018873148170564322,0.0011766300056530287
k__Viruses.f__Papillomaviridae.g__Betapapillomavirus,0.0003609573726716886,0.0004929129385039297
k__Viruses.f__Togaviridae.g__Alphavirus,0.0007951386067864364,1.5332693926671667e-05
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Trichovirus,0.00012445701672742028,0.0004168484307456112
k__Viruses.o__Caudovirales.f__Podoviridae.g__Bcep22likevirus,0.00015204472447613547,0.00013986632208223986
k__Viruses.o__Tymovirales.f__Alphaflexiviridae.g__Sclerodarnavirus,0.0015542232281942764,0.0013304341168013027
k__Viruses.f__Phycodnaviridae.g__Coccolithovirus,0.0003244467267037448,0.0006368355938808681
k__Viruses.o__Ligamenvirales.f__Lipothrixviridae.g__Deltalipothrixvirus,0.0010880500083607213,0.0
k__Viruses.f__Retroviridae.g__Alpharetrovirus,0.0008759895166517437,0.0003792475628608929
k__Viruses.f__Poxviridae.g__Capripoxvirus,0.0001588160710722245,0.00021376717686867947
k__Viruses.f__Poxviridae.g__Cervidpoxvirus,0.0009222528245084741,0.00017632042994294712
k__Viruses.g__Higrevirus,0.001074761799576846,0.0007028957372567741
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phikmvlikevirus,0.00011105768479363571,0.0007479517589957704
k__Viruses.o__Caudovirales.f__Siphoviridae.g__T5likevirus,0.000181041536949137,6.441139505655636e-05
