,tissue,blood
k__Viruses.f__Phycodnaviridae.g__Prasinovirus,0.0003308883317850423,0.00021572954880954133
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus,0.0004058451486883528,0.00027966639714260925
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Simplexvirus,0.01718277390355251,0.001695194780623484
k__Viruses.o__Caudovirales.f__Siphoviridae.g__C2likevirus,0.0005708377907470047,0.0
k__Viruses.f__Poxviridae.g__Parapoxvirus,0.0004432178679604322,0.0004071338058973871
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus,0.0002679215813745501,0.0
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Aquamavirus,0.00046809445108988773,8.131111417160165e-05
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Mardivirus,0.00042676197865828587,0.0001784089748707332
k__Viruses.f__Baculoviridae.g__Deltabaculovirus,0.00034425841819693055,0.00010285888125155462
k__Viruses.f__Papillomaviridae.g__Taupapillomavirus,0.00039012550547962003,0.0010042316773961734
k__Viruses.o__Caudovirales.f__Myoviridae.g__I3likevirus,0.000890801460089262,0.0
k__Viruses.f__Virgaviridae.g__Furovirus,0.0005089492605936594,0.0006808235957689963
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Proboscivirus,0.0006364947649165933,0.00022214073044351422
k__Viruses.o__Herpesvirales.f__Alloherpesviridae.g__Ictalurivirus,0.0006755014497547849,0.00031460668273008453
k__Viruses.f__Inoviridae.g__Inovirus,0.00036350143741168545,0.000541359940213386
k__Viruses.f__Marseilleviridae.g__Marseillevirus,0.0001643574488086435,0.00011489461074736853
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Gammacoronavirus,0.0007015891397781108,0.0018664668046441716
k__Viruses.f__Ascoviridae.g__Ascovirus,0.0014105912868679644,9.874054516911666e-05
k__Viruses.o__Caudovirales.f__Myoviridae.g__Spo1virus,0.0005470596911896118,0.0003587880162914908
k__Viruses.f__Circoviridae.g__Gyrovirus,0.000162717195173002,0.00048182632525256493
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Sicinivirus,0.0006664921688623914,0.0005272774856246303
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Dicipivirus,0.0004894872672526091,0.0008041810295593009
k__Viruses.f__Poxviridae.g__Molluscipoxvirus,0.001017089655868251,0.0
k__Viruses.o__Tymovirales.f__Tymoviridae.g__Tymovirus,0.001685281508396053,0.000361791841040246
k__Viruses.f__Flaviviridae.g__Hepacivirus,0.0004383856910948959,0.00028701106440932016
k__Viruses.f__Poxviridae.g__Alphaentomopoxvirus,0.00024184747491278009,0.00023532956186857843
k__Viruses.f__Anelloviridae.g__Gammatorquevirus,0.0007227962613980395,0.0005913771565983737
k__Viruses.g__Tenuivirus,0.00030807566988408705,0.0
k__Viruses.f__Hepeviridae.g__Piscihepevirus,0.0004375812662179974,0.0
k__Viruses.f__Virgaviridae.g__Pomovirus,0.00031662155345652356,0.0001205164992826399
k__Viruses.f__Caulimoviridae.g__Badnavirus,0.00021474285185707508,0.00023618361836183626
k__Viruses.f__Polydnaviridae.g__Ichnovirus,0.0002708020556957992,0.0009603671507647702
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Percavirus,0.000588619721689208,0.00019865263970603473
k__Viruses.f__Papillomaviridae.g__Betapapillomavirus,0.00021260856619893386,0.0009885163226928664
k__Viruses.f__Togaviridae.g__Alphavirus,0.0003979264087301614,0.002114867499574851
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Trichovirus,6.862871153864834e-05,0.00022318714101327144
