,tissue,blood
k__Viruses.f__Phycodnaviridae.g__Prasinovirus,0.0003479101232563254,0.0009882580355312105
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus,0.0004140306154730027,0.002388252660662181
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Simplexvirus,0.0007054895285574658,8.973298964058166e-05
k__Viruses.o__Caudovirales.f__Siphoviridae.g__C2likevirus,0.00041843548696317284,0.00013539731682146535
k__Viruses.f__Poxviridae.g__Parapoxvirus,0.0002576990416325094,0.0002503940177752715
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus,0.0005310108020589411,0.0
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Aquamavirus,0.0005585809785856408,0.00018342334317130815
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Mardivirus,0.0007386359319199607,0.0005095489395986237
k__Viruses.f__Baculoviridae.g__Deltabaculovirus,0.0005212094538352841,0.0010314377309713742
k__Viruses.f__Papillomaviridae.g__Taupapillomavirus,0.00027365661893020705,0.000772847124824685
k__Viruses.o__Caudovirales.f__Myoviridae.g__I3likevirus,0.0007160214955000565,0.00039590628424794827
k__Viruses.f__Virgaviridae.g__Furovirus,0.0013257741001163697,0.0011079114692194782
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Proboscivirus,0.0002960604441741083,0.0002646272331359356
k__Viruses.o__Herpesvirales.f__Alloherpesviridae.g__Ictalurivirus,0.00030014018444848254,0.003706683854063524
k__Viruses.f__Inoviridae.g__Inovirus,0.0007460733119208873,0.00022246886175854
k__Viruses.f__Marseilleviridae.g__Marseillevirus,0.000347142628505286,0.0
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Gammacoronavirus,0.0005067317622731445,0.001348929200298329
k__Viruses.f__Ascoviridae.g__Ascovirus,0.00018347688184896783,0.001269309081418729
k__Viruses.o__Caudovirales.f__Myoviridae.g__Spo1virus,0.0011464364950246947,0.0007556733592316762
k__Viruses.f__Circoviridae.g__Gyrovirus,0.000183885667455796,0.00014291563385269114
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Sicinivirus,0.0010020956243058687,0.0
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Dicipivirus,0.000819549946243068,0.00012125101372682532
k__Viruses.f__Poxviridae.g__Molluscipoxvirus,0.0008682306301643735,0.0010291901339599856
k__Viruses.o__Tymovirales.f__Tymoviridae.g__Tymovirus,0.0008989104039483056,0.000778571765526172
