,tissue,blood
k__Viruses.f__Phycodnaviridae.g__Prasinovirus,0.0005130454224643878,0.000644409398305311
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus,0.0,0.0
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Simplexvirus,0.0016305937099342033,0.006239085721824295
k__Viruses.o__Caudovirales.f__Siphoviridae.g__C2likevirus,0.0003870855676445356,3.6577681696097106e-05
k__Viruses.f__Poxviridae.g__Parapoxvirus,0.0002271524647626933,0.0
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus,0.0003074457388552068,0.0
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Aquamavirus,0.000488503267228796,0.0
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Mardivirus,0.0003177996164833558,0.0008673616376813624
k__Viruses.f__Baculoviridae.g__Deltabaculovirus,9.485555621516186e-05,0.0
k__Viruses.f__Papillomaviridae.g__Taupapillomavirus,0.00028701205166269117,0.0
k__Viruses.o__Caudovirales.f__Myoviridae.g__I3likevirus,0.00012844991207581084,0.0
k__Viruses.f__Virgaviridae.g__Furovirus,0.0011016640248752059,0.002137315485475872
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Proboscivirus,0.0002501686870242444,0.0011285124403619267
k__Viruses.o__Herpesvirales.f__Alloherpesviridae.g__Ictalurivirus,4.983440877711257e-05,0.0
k__Viruses.f__Inoviridae.g__Inovirus,0.0006978656799405565,0.0
k__Viruses.f__Marseilleviridae.g__Marseillevirus,0.00025548923881229467,0.0006520437549117419
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Gammacoronavirus,0.0001903238426449562,0.0009748554191790157
k__Viruses.f__Ascoviridae.g__Ascovirus,2.0536427948669094e-05,0.0
k__Viruses.o__Caudovirales.f__Myoviridae.g__Spo1virus,0.0005488981511342158,0.0013319449602491379
k__Viruses.f__Circoviridae.g__Gyrovirus,0.00021670511158311694,0.000516089931118079
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Sicinivirus,0.0004067639338746043,0.0
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Dicipivirus,0.0005319472877062282,0.0023990818720995644
k__Viruses.f__Poxviridae.g__Molluscipoxvirus,0.0006090906185229016,0.0012864068022047153
k__Viruses.o__Tymovirales.f__Tymoviridae.g__Tymovirus,0.0009128592126865367,0.0
k__Viruses.f__Flaviviridae.g__Hepacivirus,0.0021868345645715145,0.003273687647623326
k__Viruses.f__Poxviridae.g__Alphaentomopoxvirus,8.971103411780629e-05,0.0
k__Viruses.f__Anelloviridae.g__Gammatorquevirus,0.0003593324356537231,0.00011628698348727547
k__Viruses.g__Tenuivirus,0.00018243128198921043,0.0
k__Viruses.f__Hepeviridae.g__Piscihepevirus,0.0004931408162632181,0.0
k__Viruses.f__Virgaviridae.g__Pomovirus,0.0011387593265722552,0.0004853985793212316
k__Viruses.f__Caulimoviridae.g__Badnavirus,5.233988341340245e-05,0.0
k__Viruses.f__Polydnaviridae.g__Ichnovirus,0.00028942685104997975,0.006360174617298649
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Percavirus,0.001105308796098342,0.0
k__Viruses.f__Papillomaviridae.g__Betapapillomavirus,0.0003150601787050728,0.0
k__Viruses.f__Togaviridae.g__Alphavirus,0.00020094134826071302,0.002293825860179946
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Trichovirus,3.4495627065286524e-05,0.0001583170058492913
