,tissue,blood
k__Viruses.f__Phycodnaviridae.g__Prasinovirus,0.000651478107982264,0.00014583073553013745
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus,0.0007815231679729015,0.00048189049224090717
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Simplexvirus,0.0005684883180134222,0.0006385043204007369
k__Viruses.o__Caudovirales.f__Siphoviridae.g__C2likevirus,0.00013018678756896384,0.00032587961000423907
k__Viruses.f__Poxviridae.g__Parapoxvirus,0.00042941096635079764,0.00019127520707320212
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus,0.00013245747267309855,0.00045036675428482455
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Aquamavirus,0.0006631797898872908,0.00020978254329873794
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Mardivirus,0.0005867305541639555,8.049827841843951e-05
k__Viruses.f__Baculoviridae.g__Deltabaculovirus,0.0002263135479810238,8.54433677190789e-05
k__Viruses.f__Papillomaviridae.g__Taupapillomavirus,0.00029722530452297045,0.0005322188309011149
k__Viruses.o__Caudovirales.f__Myoviridae.g__I3likevirus,0.00027383579233249036,0.0009226338460817268
k__Viruses.f__Virgaviridae.g__Furovirus,0.0004378355928575807,0.0007862886498640476
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Proboscivirus,0.0004316408576744327,0.0006759130952630318
k__Viruses.o__Herpesvirales.f__Alloherpesviridae.g__Ictalurivirus,0.00014129680874268508,0.0010307607647789406
k__Viruses.f__Inoviridae.g__Inovirus,0.0008415037997463767,0.0
k__Viruses.f__Marseilleviridae.g__Marseillevirus,0.00010180178540276642,0.0004310182641856709
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Gammacoronavirus,0.00038624796871534827,0.000694081133689781
k__Viruses.f__Ascoviridae.g__Ascovirus,0.00044326247291320885,0.0012970011156391778
k__Viruses.o__Caudovirales.f__Myoviridae.g__Spo1virus,0.000588412273711517,0.0006184970536816278
k__Viruses.f__Circoviridae.g__Gyrovirus,8.900533031328265e-05,2.0952863077014437e-05
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Sicinivirus,0.00047468173090515424,0.0006635846507694107
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Dicipivirus,0.0003834142225300993,0.00015393867298583023
k__Viruses.f__Poxviridae.g__Molluscipoxvirus,0.0037635890572773737,0.0009189612243337926
k__Viruses.o__Tymovirales.f__Tymoviridae.g__Tymovirus,0.0006773815499652808,0.00018242874681355378
k__Viruses.f__Flaviviridae.g__Hepacivirus,0.0011529803664008444,0.0005923421140377097
k__Viruses.f__Poxviridae.g__Alphaentomopoxvirus,0.00028285895300579617,6.835469417526312e-05
k__Viruses.f__Anelloviridae.g__Gammatorquevirus,0.0004076495177117065,0.0010822845422428673
k__Viruses.g__Tenuivirus,0.0005124258417759716,0.0010673929279033127
k__Viruses.f__Hepeviridae.g__Piscihepevirus,0.0003650607690101205,0.0008462561543720763
k__Viruses.f__Virgaviridae.g__Pomovirus,0.000323542200686921,0.0002091634480718374
k__Viruses.f__Caulimoviridae.g__Badnavirus,0.0002787404061685196,0.0001726788370187538
k__Viruses.f__Polydnaviridae.g__Ichnovirus,0.0006406855145494327,0.0014268035315675555
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Percavirus,0.00031754471015185963,0.0002928628949645608
k__Viruses.f__Papillomaviridae.g__Betapapillomavirus,0.0002798444706345353,0.0005476532179360025
k__Viruses.f__Togaviridae.g__Alphavirus,0.0004640055567867147,0.00030510660816263546
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Trichovirus,0.0004929509552945136,0.0009489348018594975
k__Viruses.o__Caudovirales.f__Podoviridae.g__Bcep22likevirus,0.00018481926571717203,6.494406494406494e-05
k__Viruses.o__Tymovirales.f__Alphaflexiviridae.g__Sclerodarnavirus,0.0007007446830590318,0.00045395364780296226
k__Viruses.f__Phycodnaviridae.g__Coccolithovirus,0.0004337464801615511,0.0006168985845165043
k__Viruses.o__Ligamenvirales.f__Lipothrixviridae.g__Deltalipothrixvirus,0.0005392645646485167,0.00027963283980789454
k__Viruses.f__Retroviridae.g__Alpharetrovirus,0.0005263787485507265,0.0007323007878843466
k__Viruses.f__Poxviridae.g__Capripoxvirus,0.0003266651903648519,0.0004576418738687174
k__Viruses.f__Poxviridae.g__Cervidpoxvirus,0.0004199091582463359,0.0007166858395377566
k__Viruses.g__Higrevirus,0.0005943196942863655,0.00046253255802633985
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phikmvlikevirus,0.0011558451233152616,0.00018526440188048078
k__Viruses.o__Caudovirales.f__Siphoviridae.g__T5likevirus,0.0002111385436027983,6.047197640117994e-05
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Bafinivirus,0.0002592398868110454,0.00040922772931535417
k__Viruses.f__Baculoviridae.g__Alphabaculovirus,0.00046296091604361683,0.0010489327998724621
k__Viruses.f__Papillomaviridae.g__Mupapillomavirus,0.00019301759735382146,0.00014642251745987527
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Lambdalikevirus,0.00016016506685125376,8.856566820276499e-05
k__Viruses.f__Papillomaviridae.g__Phipapillomavirus,3.390236238191214e-05,0.0
k__Viruses.f__Papillomaviridae.g__Omegapapillomavirus,0.0002665682341383581,0.00030269972901367004
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Betacoronavirus,0.00042526990071338624,0.0001580197523461748
k__Viruses.f__Phycodnaviridae.g__Chlorovirus,0.0004967524337499989,0.0018204603985745515
k__Viruses.f__Hypoviridae.g__Hypovirus,0.001152634771941298,0.00042690789648487827
k__Viruses.f__Anelloviridae.g__Alphatorquevirus,0.00018147751444445414,2.8194803986819984e-06
k__Viruses.o__Picornavirales.f__Dicistroviridae.g__Aparavirus,0.0005464262351941959,0.00010978949340482464
k__Viruses.g__Pithovirus,0.0006480760524030456,0.00011433748073232386
k__Viruses.f__Phycodnaviridae.g__Phaeovirus,0.0004445682559104888,0.00021596228757009818
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Hepatovirus,0.0005156541767427285,0.00022838661082196768
k__Viruses.f__Virgaviridae.g__Tobamovirus,0.00033371836976876936,0.0007608253304205757
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Barnyardlikevirus,0.00020708191299025443,7.306207306207307e-05
k__Viruses.f__Baculoviridae.g__Betabaculovirus,0.0005846787551588573,0.0004884030769698724
k__Viruses.f__Arenaviridae.g__Arenavirus,0.0006831410968977325,0.0010056597457158971
k__Viruses.o__Caudovirales.f__Myoviridae.g__P100virus,0.00029963880268813527,0.0
k__Viruses.o__Caudovirales.f__Myoviridae.g__Spounalikevirus,0.0003915102524229624,0.0007634042351868787
k__Viruses.f__Partitiviridae.g__Betapartitivirus,0.0006385238770296672,0.00017823584599441312
k__Viruses.f__Reoviridae.g__Cypovirus,0.0002470610747712338,0.00048183690687293235
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Carlavirus,0.0004453977931606742,0.00022550823003534542
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Alphacoronavirus,0.00038225087776214654,0.00010076254582443018
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Iltovirus,0.00014580028630586405,0.0009393239340178437
k__Viruses.f__Bromoviridae.g__Bromovirus,0.0009454689264852898,0.00043899276463267323
k__Viruses.f__Closteroviridae.g__Closterovirus,0.00012145975680469102,0.00042657511998963303
k__Viruses.o__Caudovirales.f__Myoviridae.g__Viunalikevirus,0.0007856647720932331,9.634218446329968e-05
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Phicbklikevirus,0.00014606058535294534,8.242531462345273e-06
k__Viruses.f__Fuselloviridae.g__Alphafusellovirus,0.0001664564510309881,0.00024354200051714556
k__Viruses.f__Bunyaviridae.g__Orthobunyavirus,0.00025362496101123916,0.00023816061602672714
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Sapelovirus,0.0004980922572353962,0.0005772160791806441
k__Viruses.f__Bunyaviridae.g__Tospovirus,0.00036712596193826477,0.000961815297919434
k__Viruses.f__Mimiviridae.g__Cafeteriavirus,0.00042261222211212107,0.000822652991595807
k__Viruses.f__Potyviridae.g__Potyvirus,0.0010799197905259367,0.0008602458667769862
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Muromegalovirus,0.00044845041882600955,0.00029047863426578366
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Salivirus,0.0002131384810605821,0.0004160840504110768
k__Viruses.o__Caudovirales.f__Podoviridae.g__N4likevirus,0.0003437443047107288,0.0
k__Viruses.f__Retroviridae.g__Lentivirus,0.00023832998130611592,0.0006019731285425498
k__Viruses.o__Picornavirales.f__Secoviridae.g__Fabavirus,0.0008015215100948581,0.00019426860358956344
k__Viruses.f__Polydnaviridae.g__Bracovirus,0.0008833137587299615,0.0019340542583730811
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Rhadinovirus,0.0003622503196010499,0.00018237766440345056
k__Viruses.f__Luteoviridae.g__Polerovirus,0.000177501585871293,0.0007971664139773963
k__Viruses.f__Flaviviridae.g__Pestivirus,0.0009821004238664052,0.0005656290568941384
k__Viruses.f__Poxviridae.g__Betaentomopoxvirus,0.0009556119093289406,0.0007304504414116107
k__Viruses.o__Herpesvirales.f__Alloherpesviridae.g__Cyprinivirus,0.0009202133152381964,0.00033579384926175627
k__Viruses.o__Mononegavirales.f__Nyamiviridae.g__Nyavirus,0.000506264842769153,8.899514573753131e-05
k__Viruses.f__Retroviridae.g__Betaretrovirus,0.00048266990790506463,0.0005032412285877525
k__Viruses.f__Microviridae.g__Microvirus,0.0008553078786731958,8.738186023250355e-05
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Andromedalikevirus,0.0009452786033294427,0.00019183935426078256
k__Viruses.f__Iridoviridae.g__Lymphocystivirus,0.0007862297755145083,0.0001448934873355281
k__Viruses.f__Caliciviridae.g__Vesivirus,0.00044898452471755633,0.0002778308768569852
