,tissue,blood
k__Viruses.f__Phycodnaviridae.g__Prasinovirus,0.0003983554903331488,0.0007062607778564101
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus,0.0010837861339622373,0.00020293373909228824
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Simplexvirus,0.0008013588618391972,0.0
k__Viruses.o__Caudovirales.f__Siphoviridae.g__C2likevirus,0.00029589022214011,0.0010154347599048525
k__Viruses.f__Poxviridae.g__Parapoxvirus,0.0007904150555107504,8.129386632617294e-05
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus,0.0006309749058136934,0.0008283337253908215
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Aquamavirus,0.0018173615257125312,0.00269122457584556
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Mardivirus,0.0016392354677335474,0.0
k__Viruses.f__Baculoviridae.g__Deltabaculovirus,0.0009266027087681332,0.0024526723955118016
k__Viruses.f__Papillomaviridae.g__Taupapillomavirus,0.0004033613773891654,0.0
k__Viruses.o__Caudovirales.f__Myoviridae.g__I3likevirus,0.0008542112116687661,0.00027935146047567983
k__Viruses.f__Virgaviridae.g__Furovirus,0.0015596599239452549,0.0
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Proboscivirus,0.00043163969618896584,0.00022787205776969666
k__Viruses.o__Herpesvirales.f__Alloherpesviridae.g__Ictalurivirus,0.0004365058131616095,0.0
k__Viruses.f__Inoviridae.g__Inovirus,0.00011497227321530935,0.0014530881466894947
k__Viruses.f__Marseilleviridae.g__Marseillevirus,0.0003407857310049646,0.0011937939563769007
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Gammacoronavirus,0.0006255888623435332,0.0
k__Viruses.f__Ascoviridae.g__Ascovirus,0.0008222619737208558,0.0
k__Viruses.o__Caudovirales.f__Myoviridae.g__Spo1virus,0.00011483138036511706,0.0
k__Viruses.f__Circoviridae.g__Gyrovirus,0.0002489753163201364,0.004620979480280605
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Sicinivirus,0.0037184834191522635,0.000821902567989621
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Dicipivirus,0.0007922479982081169,0.0
k__Viruses.f__Poxviridae.g__Molluscipoxvirus,0.0011766226493775957,0.0
k__Viruses.o__Tymovirales.f__Tymoviridae.g__Tymovirus,0.0005332303049169173,7.506851256851248e-05
k__Viruses.f__Flaviviridae.g__Hepacivirus,0.0003571385127354727,0.0006365948333556411
k__Viruses.f__Poxviridae.g__Alphaentomopoxvirus,0.00022639091237548485,0.0
k__Viruses.f__Anelloviridae.g__Gammatorquevirus,0.00021437459010602053,0.0013491938966332326
k__Viruses.g__Tenuivirus,0.00029635090753055095,0.00017586921812072525
k__Viruses.f__Hepeviridae.g__Piscihepevirus,0.00023126843680457363,0.000998381974208476
k__Viruses.f__Virgaviridae.g__Pomovirus,0.001116261571306907,0.00352815541629064
k__Viruses.f__Caulimoviridae.g__Badnavirus,0.0006356786731144596,0.0007704251924561791
k__Viruses.f__Polydnaviridae.g__Ichnovirus,0.0012230332047528324,0.0005068681318681322
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Percavirus,0.002349531533583295,0.0
k__Viruses.f__Papillomaviridae.g__Betapapillomavirus,3.899759176345336e-07,0.0
