,tissue,blood
k__Viruses.f__Phycodnaviridae.g__Prasinovirus,0.0005006865160954337,0.00046787643639331443
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus,0.0002826656046714532,0.0
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Simplexvirus,0.000767424130163316,0.0
k__Viruses.o__Caudovirales.f__Siphoviridae.g__C2likevirus,0.00044369003200465674,0.0
k__Viruses.f__Poxviridae.g__Parapoxvirus,0.0010087464439765856,0.0007322245786360088
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus,0.0004879390969233912,0.0
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Aquamavirus,0.0001777319464880004,0.005411865179591394
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Mardivirus,0.001016812841399988,0.0
k__Viruses.f__Baculoviridae.g__Deltabaculovirus,0.0005722402192589176,0.0017136084407481137
k__Viruses.f__Papillomaviridae.g__Taupapillomavirus,0.0003471745306844891,0.0
k__Viruses.o__Caudovirales.f__Myoviridae.g__I3likevirus,0.0009892667107327532,0.0019444423439478047
k__Viruses.f__Virgaviridae.g__Furovirus,0.0003201931936679152,0.0
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Proboscivirus,0.0002498748207953498,0.0
k__Viruses.o__Herpesvirales.f__Alloherpesviridae.g__Ictalurivirus,0.00024659707677754877,0.0009633517669815884
k__Viruses.f__Inoviridae.g__Inovirus,0.00033040269636320884,0.0037402894757441237
k__Viruses.f__Marseilleviridae.g__Marseillevirus,0.00017209853605649455,0.0005516818856739811
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Gammacoronavirus,0.0011033848833411747,0.0
k__Viruses.f__Ascoviridae.g__Ascovirus,0.0003584426388706426,0.00033575032550320295
k__Viruses.o__Caudovirales.f__Myoviridae.g__Spo1virus,0.0003492345973145566,0.0
k__Viruses.f__Circoviridae.g__Gyrovirus,0.0007278386119299119,0.00012499395922898135
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Sicinivirus,0.0004155827527239397,0.0
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Dicipivirus,0.0005861902375867645,0.0
k__Viruses.f__Poxviridae.g__Molluscipoxvirus,0.00041021298271881677,0.0
k__Viruses.o__Tymovirales.f__Tymoviridae.g__Tymovirus,0.0005029800205310612,0.0
k__Viruses.f__Flaviviridae.g__Hepacivirus,0.001527550194948911,0.00022083246057631907
k__Viruses.f__Poxviridae.g__Alphaentomopoxvirus,0.0008894309952206361,0.0003487630196483208
k__Viruses.f__Anelloviridae.g__Gammatorquevirus,0.0003329620183022722,0.0
k__Viruses.g__Tenuivirus,0.0005587109848152267,0.0014743010562875839
k__Viruses.f__Hepeviridae.g__Piscihepevirus,0.00035756029786684267,0.003203573764064477
