,tissue,blood
k__Viruses.f__Phycodnaviridae.g__Prasinovirus,0.0004953946306332424,0.0019924776977408593
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus,0.0004760142085667492,0.0002542164659285071
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Simplexvirus,0.0012216212688670246,0.0
k__Viruses.o__Caudovirales.f__Siphoviridae.g__C2likevirus,0.0001616780491288216,0.0
k__Viruses.f__Poxviridae.g__Parapoxvirus,0.0004713168266878186,0.002469095931261899
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus,0.0006761648190269242,0.0005886604809258724
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Aquamavirus,0.0002971232606759625,0.0
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Mardivirus,0.0003993034172838995,0.0
k__Viruses.f__Baculoviridae.g__Deltabaculovirus,0.0001847601658210068,0.002124901300606702
k__Viruses.f__Papillomaviridae.g__Taupapillomavirus,0.0006561739890238857,0.0032495052178184497
k__Viruses.o__Caudovirales.f__Myoviridae.g__I3likevirus,0.00012306356918542492,0.0
k__Viruses.f__Virgaviridae.g__Furovirus,0.0015463641669734563,0.0017060643252240233
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Proboscivirus,0.00037836603987711766,0.0
k__Viruses.o__Herpesvirales.f__Alloherpesviridae.g__Ictalurivirus,0.00048330448899564296,0.0015701431674127872
k__Viruses.f__Inoviridae.g__Inovirus,0.00029349054862249263,0.0
k__Viruses.f__Marseilleviridae.g__Marseillevirus,0.00017281347888441914,0.0
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Gammacoronavirus,0.0011075541488898572,0.001064423076923078
k__Viruses.f__Ascoviridae.g__Ascovirus,0.0005630350207528405,0.0005769005276529227
k__Viruses.o__Caudovirales.f__Myoviridae.g__Spo1virus,0.0005514547888134674,0.0
k__Viruses.f__Circoviridae.g__Gyrovirus,0.0003266585277049066,0.0010947166241445409
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Sicinivirus,0.0005967071077129172,0.0031573292721402317
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Dicipivirus,0.0005657462852762059,0.0
k__Viruses.f__Poxviridae.g__Molluscipoxvirus,0.00028091772127406136,0.0
k__Viruses.o__Tymovirales.f__Tymoviridae.g__Tymovirus,0.0008981094974278371,0.0017165157742205562
k__Viruses.f__Flaviviridae.g__Hepacivirus,0.0009144191575676911,0.0011021093895837218
k__Viruses.f__Poxviridae.g__Alphaentomopoxvirus,0.0003447151872801496,0.0016573713724082598
k__Viruses.f__Anelloviridae.g__Gammatorquevirus,0.0005398656901453234,0.001431599950118466
k__Viruses.g__Tenuivirus,0.00024029283866190131,0.0005034106412005455
k__Viruses.f__Hepeviridae.g__Piscihepevirus,0.0005622365478544992,0.0
k__Viruses.f__Virgaviridae.g__Pomovirus,0.001107502565325327,0.0019550583093545988
k__Viruses.f__Caulimoviridae.g__Badnavirus,0.0002715423646070553,0.0
k__Viruses.f__Polydnaviridae.g__Ichnovirus,0.00012357082898145362,0.0
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Percavirus,0.000762000105121835,0.0
k__Viruses.f__Papillomaviridae.g__Betapapillomavirus,7.626893634839392e-05,0.0
k__Viruses.f__Togaviridae.g__Alphavirus,0.0004813198064568251,0.0
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Trichovirus,0.0003695584016596802,0.0009621589909064237
k__Viruses.o__Caudovirales.f__Podoviridae.g__Bcep22likevirus,7.565789901570011e-05,0.0
