,tissue,blood
k__Viruses.f__Phycodnaviridae.g__Prasinovirus,0.0002442991434242977,0.0018698866131284645
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus,0.0011292753282157778,2.365924898482782e-06
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Simplexvirus,0.0002754022746164306,0.00014598865027261597
k__Viruses.o__Caudovirales.f__Siphoviridae.g__C2likevirus,0.0005214168827474936,0.0004986318029796292
k__Viruses.f__Poxviridae.g__Parapoxvirus,0.00031920897607803683,0.0
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus,0.00034058086194539353,0.0
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Aquamavirus,0.0019592474154298436,0.0010261962702447786
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Mardivirus,0.0003831441270274003,0.0006327160493827158
k__Viruses.f__Baculoviridae.g__Deltabaculovirus,0.00021967403984747457,8.480345387615244e-05
k__Viruses.f__Papillomaviridae.g__Taupapillomavirus,0.0009083944457242158,0.00040880730152808865
k__Viruses.o__Caudovirales.f__Myoviridae.g__I3likevirus,0.0004745843533197082,0.0
k__Viruses.f__Virgaviridae.g__Furovirus,0.00023194234247688592,0.002736061115118169
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Proboscivirus,0.00025217021562130317,0.0
k__Viruses.o__Herpesvirales.f__Alloherpesviridae.g__Ictalurivirus,0.0003005454770406292,0.0
k__Viruses.f__Inoviridae.g__Inovirus,0.003534202553382832,0.0
k__Viruses.f__Marseilleviridae.g__Marseillevirus,0.00040398328078816573,0.0003067126584293887
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Gammacoronavirus,0.00011334332053772721,0.0
k__Viruses.f__Ascoviridae.g__Ascovirus,0.0004591021875242159,0.0
k__Viruses.o__Caudovirales.f__Myoviridae.g__Spo1virus,0.00022075555738153253,0.0009069454934327415
k__Viruses.f__Circoviridae.g__Gyrovirus,0.0006013109083964889,0.0
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Sicinivirus,0.0011957887444770266,0.0021037243734521897
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Dicipivirus,0.00027169458987628953,0.0006036890639837567
k__Viruses.f__Poxviridae.g__Molluscipoxvirus,0.00011696915140859435,0.000534418645506983
k__Viruses.o__Tymovirales.f__Tymoviridae.g__Tymovirus,8.823440266009179e-05,0.00034597804430206667
k__Viruses.f__Flaviviridae.g__Hepacivirus,0.00047198497299633747,0.0
k__Viruses.f__Poxviridae.g__Alphaentomopoxvirus,0.0003899002771024796,0.0012237791707182788
k__Viruses.f__Anelloviridae.g__Gammatorquevirus,0.002563965200977996,0.0007235868657633278
k__Viruses.g__Tenuivirus,0.00023469985469335114,0.0010283180778031984
k__Viruses.f__Hepeviridae.g__Piscihepevirus,0.004380419231707759,0.0001970297800021805
k__Viruses.f__Virgaviridae.g__Pomovirus,0.0031702680587565677,0.00015525946704067337
k__Viruses.f__Caulimoviridae.g__Badnavirus,0.0017636439855294647,0.0
k__Viruses.f__Polydnaviridae.g__Ichnovirus,0.0002482798939247709,0.0005520336605890607
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Percavirus,0.000932097476486406,0.00045464249282322006
k__Viruses.f__Papillomaviridae.g__Betapapillomavirus,0.00011533459986630203,0.0013664651077091997
k__Viruses.f__Togaviridae.g__Alphavirus,0.00024487021337815147,0.0009930014362379237
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Trichovirus,0.0004660799485411338,0.0
k__Viruses.o__Caudovirales.f__Podoviridae.g__Bcep22likevirus,0.0013316379345693137,0.0007022545137357326
k__Viruses.o__Tymovirales.f__Alphaflexiviridae.g__Sclerodarnavirus,0.00018929296572697024,0.0003030691598680199
k__Viruses.f__Phycodnaviridae.g__Coccolithovirus,0.002823976969714323,0.0
k__Viruses.o__Ligamenvirales.f__Lipothrixviridae.g__Deltalipothrixvirus,0.0006183414411180879,0.0
k__Viruses.f__Retroviridae.g__Alpharetrovirus,0.0003330645003500889,0.0
k__Viruses.f__Poxviridae.g__Capripoxvirus,0.0014073680821391815,0.00033294684074637674
k__Viruses.f__Poxviridae.g__Cervidpoxvirus,0.0006255646734905369,0.0012162663067313206
k__Viruses.g__Higrevirus,0.0002077862177242517,0.00026694050726658406
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phikmvlikevirus,0.0010751930290375923,0.0010298877890162117
k__Viruses.o__Caudovirales.f__Siphoviridae.g__T5likevirus,0.0013761766130167025,0.0012678057694850307
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Bafinivirus,0.0004992495130307869,3.519903260697388e-05
k__Viruses.f__Baculoviridae.g__Alphabaculovirus,0.0006027599696953276,0.0008888472838873135
k__Viruses.f__Papillomaviridae.g__Mupapillomavirus,0.0002398551074930106,0.0005373183228824431
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Lambdalikevirus,0.0010395520689503242,0.0013547027861409134
k__Viruses.f__Papillomaviridae.g__Phipapillomavirus,0.00014692192637610725,1.546037584778935e-05
k__Viruses.f__Papillomaviridae.g__Omegapapillomavirus,0.001038304008654087,0.001008074487440503
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Betacoronavirus,0.0016024722929090757,4.885787424356772e-05
k__Viruses.f__Phycodnaviridae.g__Chlorovirus,0.00018712274942381615,0.0
k__Viruses.f__Hypoviridae.g__Hypovirus,0.00012876884615974676,0.001337453323752785
k__Viruses.f__Anelloviridae.g__Alphatorquevirus,0.0006894709149367752,0.00046705490769752224
k__Viruses.o__Picornavirales.f__Dicistroviridae.g__Aparavirus,0.0032076474114551517,0.0
k__Viruses.g__Pithovirus,0.00032836729342962883,0.00030806636198593316
k__Viruses.f__Phycodnaviridae.g__Phaeovirus,0.00028970123946216105,0.0019502481101849917
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Hepatovirus,0.006380676814783006,0.0004919375317420008
k__Viruses.f__Virgaviridae.g__Tobamovirus,0.0005831467580162688,0.0005380447409906152
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Barnyardlikevirus,0.0014969637520117593,0.0009490740740740738
k__Viruses.f__Baculoviridae.g__Betabaculovirus,0.0006146659286777007,0.0
k__Viruses.f__Arenaviridae.g__Arenavirus,0.00039534046257150225,4.12479221373721e-05
k__Viruses.o__Caudovirales.f__Myoviridae.g__P100virus,0.001204590093882519,0.0
k__Viruses.o__Caudovirales.f__Myoviridae.g__Spounalikevirus,0.0003175437964064048,0.0008305982649609047
k__Viruses.f__Partitiviridae.g__Betapartitivirus,0.00019548679863455457,0.0029297350522872008
k__Viruses.f__Reoviridae.g__Cypovirus,0.0006536353764575215,0.0007706573450122372
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Carlavirus,7.334932713524694e-05,0.00014650923871774651
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Alphacoronavirus,0.00044223573321840474,0.0004452755355324714
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Iltovirus,0.0006024577269843738,0.0
k__Viruses.f__Bromoviridae.g__Bromovirus,0.0002447611833165309,0.0010756017838608142
k__Viruses.f__Closteroviridae.g__Closterovirus,0.00037477586356732235,0.0
k__Viruses.o__Caudovirales.f__Myoviridae.g__Viunalikevirus,0.0004170349573203575,0.0
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Phicbklikevirus,0.0002963463618638112,0.0
k__Viruses.f__Fuselloviridae.g__Alphafusellovirus,0.00045190506557948477,0.0
k__Viruses.f__Bunyaviridae.g__Orthobunyavirus,0.0009051361626152627,0.0
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Sapelovirus,0.0002986583626409248,0.0006646818286669202
k__Viruses.f__Bunyaviridae.g__Tospovirus,0.0003876941340708255,0.0013186834406177569
k__Viruses.f__Mimiviridae.g__Cafeteriavirus,0.00019726438435663807,0.0007606565116277755
k__Viruses.f__Potyviridae.g__Potyvirus,8.895098556556126e-05,0.0020201305332437315
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Muromegalovirus,0.0003733605473186662,0.0
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Salivirus,0.00030208922803648923,0.0010941088144847731
k__Viruses.o__Caudovirales.f__Podoviridae.g__N4likevirus,0.00042382779348312837,0.0
k__Viruses.f__Retroviridae.g__Lentivirus,0.0005074336283128817,0.0009234843734135289
k__Viruses.o__Picornavirales.f__Secoviridae.g__Fabavirus,0.001374943394464173,0.0004387278083205199
k__Viruses.f__Polydnaviridae.g__Bracovirus,0.0001812184253261708,0.00018113604488078554
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Rhadinovirus,0.00038099481041570715,0.0
