,tissue,blood
k__Viruses.f__Phycodnaviridae.g__Prasinovirus,0.0005583545006549284,0.001577488204421353
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus,0.00022928266493708,0.0
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Simplexvirus,0.0008789301174282726,0.0
k__Viruses.o__Caudovirales.f__Siphoviridae.g__C2likevirus,0.000395706300149144,0.002924657767595322
k__Viruses.f__Poxviridae.g__Parapoxvirus,0.000425579377569727,0.0
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus,0.000613051030943565,6.282984723765681e-05
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Aquamavirus,0.0008859387904020455,0.0018556887946144644
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Mardivirus,0.0007651348057062296,0.0
k__Viruses.f__Baculoviridae.g__Deltabaculovirus,0.0007883779294613194,0.0
k__Viruses.f__Papillomaviridae.g__Taupapillomavirus,0.00045325732420765366,0.0
k__Viruses.o__Caudovirales.f__Myoviridae.g__I3likevirus,0.0008161777853673517,0.0
k__Viruses.f__Virgaviridae.g__Furovirus,0.0008924321666252191,0.0
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Proboscivirus,0.001701448184961256,0.0
k__Viruses.o__Herpesvirales.f__Alloherpesviridae.g__Ictalurivirus,0.0002741492986201409,0.0
k__Viruses.f__Inoviridae.g__Inovirus,0.0003340249390623579,0.0
k__Viruses.f__Marseilleviridae.g__Marseillevirus,0.00024461260808846165,0.0
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Gammacoronavirus,0.0008360569934677454,0.0
k__Viruses.f__Ascoviridae.g__Ascovirus,0.00038263496493317175,0.0
k__Viruses.o__Caudovirales.f__Myoviridae.g__Spo1virus,0.0010659229844081732,0.0
k__Viruses.f__Circoviridae.g__Gyrovirus,0.00016960429939096337,0.0
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Sicinivirus,0.0023674657565494923,0.0
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Dicipivirus,0.0007728192343388565,0.00028121399089141004
k__Viruses.f__Poxviridae.g__Molluscipoxvirus,0.0033636767690102707,0.0013706644294420817
k__Viruses.o__Tymovirales.f__Tymoviridae.g__Tymovirus,0.0013217987728278277,0.00047607144297060725
k__Viruses.f__Flaviviridae.g__Hepacivirus,0.005528920206244705,0.0007498856881572917
k__Viruses.f__Poxviridae.g__Alphaentomopoxvirus,0.00030433019164552736,0.0
k__Viruses.f__Anelloviridae.g__Gammatorquevirus,0.0010050279428596314,0.0
k__Viruses.g__Tenuivirus,0.000323973957017877,0.0005659075224292621
k__Viruses.f__Hepeviridae.g__Piscihepevirus,0.0013193521059892122,0.0
k__Viruses.f__Virgaviridae.g__Pomovirus,0.0005535753526455666,0.0
k__Viruses.f__Caulimoviridae.g__Badnavirus,0.0003866378441996006,0.0004218106995884766
k__Viruses.f__Polydnaviridae.g__Ichnovirus,0.0007988635874726296,0.0
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Percavirus,0.00043899159996143466,0.0
k__Viruses.f__Papillomaviridae.g__Betapapillomavirus,0.0004112470928296591,0.0
k__Viruses.f__Togaviridae.g__Alphavirus,0.0015622286837207791,0.0
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Trichovirus,0.0,0.0
k__Viruses.o__Caudovirales.f__Podoviridae.g__Bcep22likevirus,0.0001055683374103408,0.0
k__Viruses.o__Tymovirales.f__Alphaflexiviridae.g__Sclerodarnavirus,0.0006842319638930101,0.00021295013850415514
k__Viruses.f__Phycodnaviridae.g__Coccolithovirus,0.0001721406360608017,0.0
k__Viruses.o__Ligamenvirales.f__Lipothrixviridae.g__Deltalipothrixvirus,0.00035712888416864483,0.0
k__Viruses.f__Retroviridae.g__Alpharetrovirus,0.002224997601485899,0.012226379768672642
k__Viruses.f__Poxviridae.g__Capripoxvirus,0.0004511091145371443,0.0
k__Viruses.f__Poxviridae.g__Cervidpoxvirus,7.09863901994792e-05,0.00018202446724546186
k__Viruses.g__Higrevirus,0.0005932225531387708,0.0
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phikmvlikevirus,0.0002922481659851962,0.0025827456494123113
k__Viruses.o__Caudovirales.f__Siphoviridae.g__T5likevirus,0.0001397943495044693,0.0
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Bafinivirus,0.0004685989888132841,0.0
k__Viruses.f__Baculoviridae.g__Alphabaculovirus,0.0006557610924969096,0.0
k__Viruses.f__Papillomaviridae.g__Mupapillomavirus,0.00015677250770689623,0.0
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Lambdalikevirus,0.0004548769163931993,0.0
k__Viruses.f__Papillomaviridae.g__Phipapillomavirus,4.661745600740657e-05,0.0
k__Viruses.f__Papillomaviridae.g__Omegapapillomavirus,0.0009976461448770741,0.0
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Betacoronavirus,0.00012488582055352582,0.0
k__Viruses.f__Phycodnaviridae.g__Chlorovirus,0.00047577655934901537,0.0
k__Viruses.f__Hypoviridae.g__Hypovirus,0.0004683469224075315,0.0
k__Viruses.f__Anelloviridae.g__Alphatorquevirus,6.615383748749637e-05,0.0008196323502850556
k__Viruses.o__Picornavirales.f__Dicistroviridae.g__Aparavirus,0.0006286920133159387,0.0
k__Viruses.g__Pithovirus,2.458318540531487e-06,0.0
k__Viruses.f__Phycodnaviridae.g__Phaeovirus,0.002983527897913681,0.0
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Hepatovirus,0.0002212047725301334,0.0
k__Viruses.f__Virgaviridae.g__Tobamovirus,0.0005780466190421896,0.0005045095371511334
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Barnyardlikevirus,0.0003105315837127693,0.0
k__Viruses.f__Baculoviridae.g__Betabaculovirus,0.0005336352008172149,0.0016815148301156319
k__Viruses.f__Arenaviridae.g__Arenavirus,0.0007653812964347751,0.0
k__Viruses.o__Caudovirales.f__Myoviridae.g__P100virus,0.00016944117973862014,0.0002610079575596815
k__Viruses.o__Caudovirales.f__Myoviridae.g__Spounalikevirus,0.00026534860093762355,0.0
k__Viruses.f__Partitiviridae.g__Betapartitivirus,0.00047716175584574464,0.0
k__Viruses.f__Reoviridae.g__Cypovirus,0.0003163844981434986,0.0
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Carlavirus,0.0002598151834881527,0.005037046852183407
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Alphacoronavirus,0.00018485778545374246,0.0
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Iltovirus,0.00014227690473181433,0.0
k__Viruses.f__Bromoviridae.g__Bromovirus,0.0006645699644662863,0.0014689777021050776
k__Viruses.f__Closteroviridae.g__Closterovirus,0.0004198828545083677,0.0
k__Viruses.o__Caudovirales.f__Myoviridae.g__Viunalikevirus,0.0005394058569960099,0.0025494044652506283
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Phicbklikevirus,0.0001113213586167503,0.0
k__Viruses.f__Fuselloviridae.g__Alphafusellovirus,0.00013172202515637018,0.0
k__Viruses.f__Bunyaviridae.g__Orthobunyavirus,0.00045366175586409685,0.0
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Sapelovirus,0.0006611484365814315,0.0
k__Viruses.f__Bunyaviridae.g__Tospovirus,0.002349068092533386,0.0009707971586424632
k__Viruses.f__Mimiviridae.g__Cafeteriavirus,0.0006993252467381684,0.0005813951214138734
k__Viruses.f__Potyviridae.g__Potyvirus,0.0027592425185753266,0.0
