,tissue,blood
k__Viruses.f__Phycodnaviridae.g__Prasinovirus,0.0005318980622608239,0.00046431719404306315
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus,0.0002934784656620114,0.0005213904111931411
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Simplexvirus,0.00037791902398611604,0.0022850203138564213
k__Viruses.o__Caudovirales.f__Siphoviridae.g__C2likevirus,0.0,0.0007505414242199637
k__Viruses.f__Poxviridae.g__Parapoxvirus,0.00020704825584630244,8.139091421044208e-05
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus,0.00019022948662267134,0.000183438175035829
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Aquamavirus,0.001309002647174194,0.0004672567230283892
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Mardivirus,0.0015702623010951267,0.0011125670308548196
k__Viruses.f__Baculoviridae.g__Deltabaculovirus,0.000266255590949022,0.0015977499725525488
k__Viruses.f__Papillomaviridae.g__Taupapillomavirus,0.0010001899693691785,0.00029717522465990613
k__Viruses.o__Caudovirales.f__Myoviridae.g__I3likevirus,0.0007788390662202764,0.0014034504025282933
k__Viruses.f__Virgaviridae.g__Furovirus,0.0014165220642976025,0.0010138624970685362
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Proboscivirus,8.357068128363527e-05,0.0019557564452363507
k__Viruses.o__Herpesvirales.f__Alloherpesviridae.g__Ictalurivirus,0.000658242786228153,0.0006024870036358703
k__Viruses.f__Inoviridae.g__Inovirus,0.0003837707094157729,0.00016693700014453201
k__Viruses.f__Marseilleviridae.g__Marseillevirus,0.00022662400074027804,4.370096225018504e-05
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Gammacoronavirus,0.002069257332724015,0.0010043379935377437
k__Viruses.f__Ascoviridae.g__Ascovirus,0.0008826999084404637,0.00046950138307558687
k__Viruses.o__Caudovirales.f__Myoviridae.g__Spo1virus,0.0016092490941171367,0.000354203932679858
k__Viruses.f__Circoviridae.g__Gyrovirus,0.00027073697530325547,4.2038177233393204e-05
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Sicinivirus,0.0,0.0004698539565515242
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Dicipivirus,0.0004883302574483035,0.0001854533110676161
k__Viruses.f__Poxviridae.g__Molluscipoxvirus,0.0008397409182044545,0.0009827697039039576
k__Viruses.o__Tymovirales.f__Tymoviridae.g__Tymovirus,0.0010175454558410408,0.0012124363092903454
k__Viruses.f__Flaviviridae.g__Hepacivirus,0.0006761449811814332,0.0003148972529655436
k__Viruses.f__Poxviridae.g__Alphaentomopoxvirus,0.0004875874696031282,0.0009424713263287962
k__Viruses.f__Anelloviridae.g__Gammatorquevirus,0.00012865006244151703,0.0014849811348406233
k__Viruses.g__Tenuivirus,0.0007549914426415233,0.0014849470283383223
k__Viruses.f__Hepeviridae.g__Piscihepevirus,0.00016652156192504926,0.0006925993871108271
k__Viruses.f__Virgaviridae.g__Pomovirus,0.0008131457989279113,0.0010794345092181002
k__Viruses.f__Caulimoviridae.g__Badnavirus,0.0002843235639215547,0.0005760568025320327
k__Viruses.f__Polydnaviridae.g__Ichnovirus,0.0031182044612644007,0.0002730292613499858
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Percavirus,0.0013453918001723123,0.00031979127754219326
k__Viruses.f__Papillomaviridae.g__Betapapillomavirus,0.0005058095595536549,0.0003695229740997452
