,tissue,blood
k__Viruses.f__Phycodnaviridae.g__Prasinovirus,0.0011154723724448449,0.00010184998623536844
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus,0.000724677966489489,0.00026434818305364784
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Simplexvirus,0.0025145943483049927,0.0007374242094137413
k__Viruses.o__Caudovirales.f__Siphoviridae.g__C2likevirus,0.00027299010742865866,9.567314151563793e-05
k__Viruses.f__Poxviridae.g__Parapoxvirus,0.0007030442975074941,0.0
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus,0.0006903080415341646,0.0
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Aquamavirus,0.0006907083686345299,0.00029621477663354534
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Mardivirus,0.0005033870883383516,0.00020967388705506122
k__Viruses.f__Baculoviridae.g__Deltabaculovirus,0.0008417939316057977,0.0003384411592975236
k__Viruses.f__Papillomaviridae.g__Taupapillomavirus,0.00036093069292123545,8.95108228030521e-05
k__Viruses.o__Caudovirales.f__Myoviridae.g__I3likevirus,0.0004398867297846484,0.0001501344771789385
k__Viruses.f__Virgaviridae.g__Furovirus,0.00030784739784757073,0.0011843727979957436
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Proboscivirus,0.0010532224279349214,0.0005736040213644206
k__Viruses.o__Herpesvirales.f__Alloherpesviridae.g__Ictalurivirus,0.00014704525842005142,0.0005347591733039145
k__Viruses.f__Inoviridae.g__Inovirus,0.00034824484221527766,0.0005110002544648045
k__Viruses.f__Marseilleviridae.g__Marseillevirus,0.00013303901315841554,0.00019384437582811414
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Gammacoronavirus,0.0006084522538273295,0.0004413937649075024
k__Viruses.f__Ascoviridae.g__Ascovirus,0.0006546563023743118,0.002169200289573151
k__Viruses.o__Caudovirales.f__Myoviridae.g__Spo1virus,0.0005144981380510654,0.0007334273843692316
k__Viruses.f__Circoviridae.g__Gyrovirus,0.00034821397261833114,0.00023513502904402614
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Sicinivirus,0.0005601176480323186,0.0005422266634445551
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Dicipivirus,0.0006679542839129074,5.375656240501877e-05
k__Viruses.f__Poxviridae.g__Molluscipoxvirus,0.001162534256077441,0.0009028344978026941
k__Viruses.o__Tymovirales.f__Tymoviridae.g__Tymovirus,0.003630792522131831,0.0017833951091842698
k__Viruses.f__Flaviviridae.g__Hepacivirus,0.00042137867323253567,0.000463178332866105
k__Viruses.f__Poxviridae.g__Alphaentomopoxvirus,0.0005000220026894418,0.0002080698460069331
k__Viruses.f__Anelloviridae.g__Gammatorquevirus,0.0005703914717257342,0.0003165228461960611
k__Viruses.g__Tenuivirus,0.0006343922473531388,0.0004413639484906634
k__Viruses.f__Hepeviridae.g__Piscihepevirus,0.0004634536460539827,0.0009782215470850485
k__Viruses.f__Virgaviridae.g__Pomovirus,0.0003831463148257623,0.0
k__Viruses.f__Caulimoviridae.g__Badnavirus,0.0004762933755966942,7.758185691859164e-05
k__Viruses.f__Polydnaviridae.g__Ichnovirus,0.00046108876238524945,0.00076239463011545
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Percavirus,0.0005716844744886539,0.0026444878496319295
k__Viruses.f__Papillomaviridae.g__Betapapillomavirus,8.369632147597353e-05,0.00041589063408842606
k__Viruses.f__Togaviridae.g__Alphavirus,0.0002736899483720492,0.0001712991642021679
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Trichovirus,0.00017804166867949883,0.0008985198587861107
k__Viruses.o__Caudovirales.f__Podoviridae.g__Bcep22likevirus,0.0005787910367051449,0.0005448732953966628
k__Viruses.o__Tymovirales.f__Alphaflexiviridae.g__Sclerodarnavirus,0.00030404551905685996,0.0014269778808554804
k__Viruses.f__Phycodnaviridae.g__Coccolithovirus,0.0004654444201565432,0.0005448960444871154
k__Viruses.o__Ligamenvirales.f__Lipothrixviridae.g__Deltalipothrixvirus,0.0004063559949273365,0.00014647434466127807
k__Viruses.f__Retroviridae.g__Alpharetrovirus,0.00044618697875132196,0.003294022988143818
k__Viruses.f__Poxviridae.g__Capripoxvirus,0.0005234162990762991,0.00025864756273233434
k__Viruses.f__Poxviridae.g__Cervidpoxvirus,0.0006293703745055374,0.0020057020358174257
k__Viruses.g__Higrevirus,0.00042360927355830565,0.0005572402159418907
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phikmvlikevirus,0.0009473873234869231,0.00021250680580185013
k__Viruses.o__Caudovirales.f__Siphoviridae.g__T5likevirus,0.00026837223037770797,0.0011525048529979396
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Bafinivirus,0.0007543368826305842,0.0012755325636623872
k__Viruses.f__Baculoviridae.g__Alphabaculovirus,0.0005890910743268732,0.00013952187760881196
k__Viruses.f__Papillomaviridae.g__Mupapillomavirus,4.0314431121493296e-05,0.0
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Lambdalikevirus,0.0002995326740332491,0.00025400019065455816
k__Viruses.f__Papillomaviridae.g__Phipapillomavirus,0.0001869385145898602,0.0
k__Viruses.f__Papillomaviridae.g__Omegapapillomavirus,0.0006047168569191387,0.001893746498938893
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Betacoronavirus,0.00027786508417949174,0.0
k__Viruses.f__Phycodnaviridae.g__Chlorovirus,0.0008360526842627187,0.0010208361244418178
k__Viruses.f__Hypoviridae.g__Hypovirus,0.000732321237580775,0.0007571711223422587
k__Viruses.f__Anelloviridae.g__Alphatorquevirus,0.00016071334892184177,0.0007385624766849165
k__Viruses.o__Picornavirales.f__Dicistroviridae.g__Aparavirus,0.0005435087365863252,0.0
k__Viruses.g__Pithovirus,0.00027927596059193493,0.00017076126157099494
k__Viruses.f__Phycodnaviridae.g__Phaeovirus,0.00023586749459214018,0.00041147286847597676
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Hepatovirus,0.0007771037823215424,0.0011160683003776598
k__Viruses.f__Virgaviridae.g__Tobamovirus,0.00048302838137141533,0.0009549316150217347
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Barnyardlikevirus,0.00013257720174928738,9.468119145126032e-05
k__Viruses.f__Baculoviridae.g__Betabaculovirus,0.00016895198943447375,0.0005971853346665601
k__Viruses.f__Arenaviridae.g__Arenavirus,0.0005050675958174303,8.919625283289204e-05
k__Viruses.o__Caudovirales.f__Myoviridae.g__P100virus,0.0001269770692165781,7.085508550855088e-05
k__Viruses.o__Caudovirales.f__Myoviridae.g__Spounalikevirus,0.0003739494056168212,0.000741897309554941
k__Viruses.f__Partitiviridae.g__Betapartitivirus,0.00027541631018015663,9.168041178920231e-05
k__Viruses.f__Reoviridae.g__Cypovirus,0.0004615860952123697,0.00044591751780869023
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Carlavirus,0.00032136175790358303,0.0018808887201902417
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Alphacoronavirus,0.0009631760083426322,0.000244589478048441
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Iltovirus,0.0001273341079645341,9.108142531323125e-05
k__Viruses.f__Bromoviridae.g__Bromovirus,0.0007350793737223593,0.0006678709204846058
k__Viruses.f__Closteroviridae.g__Closterovirus,0.0005736351663891771,0.00042556433894207885
k__Viruses.o__Caudovirales.f__Myoviridae.g__Viunalikevirus,0.0005880554958567938,0.0007206190637920617
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Phicbklikevirus,9.325615680602485e-05,0.0
k__Viruses.f__Fuselloviridae.g__Alphafusellovirus,6.342863402280644e-05,0.00021546942530296104
k__Viruses.f__Bunyaviridae.g__Orthobunyavirus,0.0002504747180061989,0.00011943765121524529
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Sapelovirus,0.0008588678427024762,0.001073844899851856
k__Viruses.f__Bunyaviridae.g__Tospovirus,0.00033373902854902886,0.0007297870242491494
k__Viruses.f__Mimiviridae.g__Cafeteriavirus,0.0006219912611427908,0.00043583316563335165
k__Viruses.f__Potyviridae.g__Potyvirus,0.0011194819555386906,0.00020798257360069656
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Muromegalovirus,0.0028363520635907883,0.0003691732469840722
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Salivirus,0.0009886017223561482,0.0007678000947718222
k__Viruses.o__Caudovirales.f__Podoviridae.g__N4likevirus,0.0003679048201787927,0.0003550093372686831
k__Viruses.f__Retroviridae.g__Lentivirus,0.00032049543170354386,0.00025045158375831036
k__Viruses.o__Picornavirales.f__Secoviridae.g__Fabavirus,0.00046984256880465024,0.0009166446159432234
k__Viruses.f__Polydnaviridae.g__Bracovirus,0.0016834946445987353,0.0
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Rhadinovirus,0.00036573775231443155,0.0003489437452706377
k__Viruses.f__Luteoviridae.g__Polerovirus,0.00011444011865953656,0.0004503814235716107
k__Viruses.f__Flaviviridae.g__Pestivirus,0.0005021911134410233,0.00023675483992632946
k__Viruses.f__Poxviridae.g__Betaentomopoxvirus,0.0014512447509396889,0.0009445685851184713
k__Viruses.o__Herpesvirales.f__Alloherpesviridae.g__Cyprinivirus,0.00027402686884238115,0.0006663014470518268
k__Viruses.o__Mononegavirales.f__Nyamiviridae.g__Nyavirus,0.0004706408796516556,0.00017644592754402402
k__Viruses.f__Retroviridae.g__Betaretrovirus,0.0003497408481999413,0.00037038808387620663
k__Viruses.f__Microviridae.g__Microvirus,0.0008648088232326334,0.0
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Andromedalikevirus,0.00022270609493795917,0.0007766039952412137
k__Viruses.f__Iridoviridae.g__Lymphocystivirus,0.0004179880289941328,0.00042542640149263803
k__Viruses.f__Caliciviridae.g__Vesivirus,0.0008188971700364854,0.0003459922826259461
k__Viruses.f__Poxviridae.g__Avipoxvirus,0.000713208377701342,0.000583732735183081
k__Viruses.o__Mononegavirales.f__Paramyxoviridae.g__Rubulavirus,0.0004427733909050624,0.0002017289729786934
