,tissue,blood
k__Viruses.f__Phycodnaviridae.g__Prasinovirus,0.00039726775289566896,0.0014100056619388481
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus,0.000679939187276491,0.0007590291140010675
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Simplexvirus,0.0005635206838605957,0.0005667665842565528
k__Viruses.o__Caudovirales.f__Siphoviridae.g__C2likevirus,0.0009488710636187476,6.093520680195437e-05
k__Viruses.f__Poxviridae.g__Parapoxvirus,0.0003754090988108414,0.00025997695401179516
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus,0.0008113553251183883,0.0002668207294073897
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Aquamavirus,0.00037518708542866796,0.00030537730673873095
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Mardivirus,0.0004068209258935476,8.719683613665585e-05
k__Viruses.f__Baculoviridae.g__Deltabaculovirus,0.0007373444392868399,0.0004168294127766455
k__Viruses.f__Papillomaviridae.g__Taupapillomavirus,0.0002429051252346841,0.0005576600987732219
k__Viruses.o__Caudovirales.f__Myoviridae.g__I3likevirus,0.0008487010831941448,0.000528732899644706
k__Viruses.f__Virgaviridae.g__Furovirus,0.0005413419356105335,0.00016935431168929707
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Proboscivirus,0.0003667424544780821,0.0003068381444515951
k__Viruses.o__Herpesvirales.f__Alloherpesviridae.g__Ictalurivirus,0.0011686632250802944,0.0
k__Viruses.f__Inoviridae.g__Inovirus,0.0018487262038782187,0.0017278276166123535
k__Viruses.f__Marseilleviridae.g__Marseillevirus,0.0004782900183426328,0.00044305501068387027
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Gammacoronavirus,0.0007156807455471428,0.000410534290850368
k__Viruses.f__Ascoviridae.g__Ascovirus,0.0004256567115522571,0.000611797212686693
k__Viruses.o__Caudovirales.f__Myoviridae.g__Spo1virus,0.002012245030031433,0.0008181479336418454
k__Viruses.f__Circoviridae.g__Gyrovirus,0.0004442331147017307,0.0025161138505872243
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Sicinivirus,0.0008767611019650923,0.00043617059369552123
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Dicipivirus,0.0008842567602636562,0.0015755276188048365
k__Viruses.f__Poxviridae.g__Molluscipoxvirus,0.0009042157306145493,0.0007194890061649399
k__Viruses.o__Tymovirales.f__Tymoviridae.g__Tymovirus,0.0009110544055658409,0.0002455883608365475
k__Viruses.f__Flaviviridae.g__Hepacivirus,0.0006068506772366748,0.001037798478655613
k__Viruses.f__Poxviridae.g__Alphaentomopoxvirus,0.0003585308153750133,0.001337096814440667
k__Viruses.f__Anelloviridae.g__Gammatorquevirus,0.000592508732005843,0.0011280982668748448
k__Viruses.g__Tenuivirus,0.0005555749580719277,0.0006665420711829147
k__Viruses.f__Hepeviridae.g__Piscihepevirus,0.0005179260388636234,0.0008185645966977481
k__Viruses.f__Virgaviridae.g__Pomovirus,0.0009817092253592715,0.0010033811044701272
k__Viruses.f__Caulimoviridae.g__Badnavirus,0.000455796870864827,0.0010613508233887385
k__Viruses.f__Polydnaviridae.g__Ichnovirus,0.0007341933333749229,0.00043915365451728555
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Percavirus,0.0005658973939656621,7.888579901694184e-05
k__Viruses.f__Papillomaviridae.g__Betapapillomavirus,0.0002996863204306505,0.0001499717670920024
k__Viruses.f__Togaviridae.g__Alphavirus,0.0012998012604380723,0.0002537898665166872
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Trichovirus,0.0006616417709781264,0.00025944514759184816
k__Viruses.o__Caudovirales.f__Podoviridae.g__Bcep22likevirus,0.00019622677700184007,0.0002795032257290261
k__Viruses.o__Tymovirales.f__Alphaflexiviridae.g__Sclerodarnavirus,0.0006070800834473821,0.0009598178562530314
k__Viruses.f__Phycodnaviridae.g__Coccolithovirus,0.0009447175079537024,0.0015370533729474202
k__Viruses.o__Ligamenvirales.f__Lipothrixviridae.g__Deltalipothrixvirus,0.00028476584773936544,0.0
k__Viruses.f__Retroviridae.g__Alpharetrovirus,0.0011391247220773303,0.003138940872679077
k__Viruses.f__Poxviridae.g__Capripoxvirus,0.0002582080428596919,0.001576820836152946
k__Viruses.f__Poxviridae.g__Cervidpoxvirus,0.00028026064115388433,0.00013955127245719528
k__Viruses.g__Higrevirus,0.0003902805224208107,0.00032203690956723234
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phikmvlikevirus,0.00025755114384211337,0.001267305716553983
k__Viruses.o__Caudovirales.f__Siphoviridae.g__T5likevirus,0.0007335237362792183,0.00031791526422609987
